Origin Controller,Ruta DMZ,HTTP Method,Ruta ServicioSAP,HTTP Method SAP,Programador,Conectado,Generado,Notas
CustomerServiceController,customerService/LoginClienteCreditoFechaN,POST,To Do,GET,Javier,No,No,BP05 - Login por fecha nacimiento
CustomerServiceController,customerService/GetSTPAccount,POST,To Do,POST,Marcos,No,No,ZAPI_REFERENCIAS_BANCARIAS - Requiere desarrollo ABAP
CustomerServiceController,customerService/GetSalesChannelsSTP,POST,To Do,GET,Javier,No,No,CteEnviarA  → salesanddistribution-api.mavi.fun/AS_GET_PartnerAddress?SdDoc=0000007844&PartnRole=WE
CustomerServiceController,customerService/ValidateSTPAccount,GET,To Do,GET,Marcos,No,No,Tabla Z nueva en SAP - Requiere desarrollo
CustomerServiceController,customerService/bbvaKeyNeko,POST,N/A,N/A,Deprecado,N/A,N/A,DEPRECADO
CustomerServiceController,customerService/bbvaKeyAdvanced,POST,To Do,GET,Diego,No,No,Herramienta EXT BBVA
CustomerServiceController,customerService/GetEmpleadoByNomina,POST,partner/successfactor/employee/{userId},GET,Javier,No,No,SuccessFactor - Endpoint SAP existe
CustomerServiceController,customerService/ActualizarCamposConfigurables,POST,N/A,N/A,Deprecado,N/A,N/A,DEPRECADO
CustomerServiceController,customerService/InsertarDesdeTablerateNativo,POST,N/A,N/A,Deprecado,N/A,N/A,DEPRECADO
CustomerServiceController,customerService/InsertarDesdeTablerateCustom,POST,N/A,N/A,Deprecado,N/A,N/A,DEPRECADO
LoginController,login/authenticate,POST,login/auth,POST,Diego,Si,Si,JWT local - Endpoint SAP existe
MagentoController,magento/attributes,GET,N/A (MAGENTO directo),N/A,Diego,No,No,DMZ→Magento directo
MagentoController,magento/general/attributes,GET,N/A (MAGENTO directo),N/A,Diego,No,No,DMZ→Magento directo
MagentoController,magento/attributeSets,GET,N/A (MAGENTO directo),N/A,Diego,No,No,DMZ→Magento directo
MagentoController,magento/attributeSetChildren/{id},GET,N/A (MAGENTO directo),N/A,Diego,No,No,DMZ→Magento directo
MagentoController,magento/categories,GET,N/A (MAGENTO directo),N/A,Diego,No,No,DMZ→Magento directo
MagentoController,magento/children/{page}/{size}/{store},GET,N/A (MAGENTO directo),N/A,Diego,No,No,DMZ→Magento directo
MagentoController,magento/noImagenProduct/{store},GET,N/A (MAGENTO directo),N/A,Diego,No,No,DMZ→Magento directo
MagentoController,magento/productWithWebsites/{page}/{size},GET,N/A (MAGENTO directo),N/A,Diego,No,No,DMZ→Magento directo
MagentoController,magento/getOrderId/{incrementId},GET,N/A (MAGENTO directo),N/A,Diego,No,No,DMZ→Magento directo
MagentoController,magento/deletePromociones,GET,N/A (MAGENTO directo),N/A,Diego,No,No,DMZ→Magento directo
MagentoController,magento/deleteReservations,GET,N/A (MAGENTO directo),N/A,Diego,No,No,DMZ→Magento directo
MagentoController,magento/getCuenta,POST,N/A (MAGENTO directo),N/A,Diego,No,No,DMZ→Magento directo
MagentoController,magento/setCuenta,POST,N/A (MAGENTO directo),N/A,Diego,No,No,DMZ→Magento directo
OrdersController,order/setOrder,POST,order/new,POST,Marcos,Si,Si,SD01 - Migrado
OrdersController,order/cancelOrder,POST,order/cancelOrder,POST,Javier,Si,Si,SD46 - Endpoint SAP existe faltan escenarios delivery
OrdersController,order/returnOrder,POST,order/setreturn,POST,Marcos,Si,Si,SD09 - Migrado
OrdersController,order/getIntelisisStatuses,POST,sale/filter/{filters},GET,Javier,No,Si,SD36 - Reutilizar SaleController
OrdersController,order/getPosCancellations,POST,order/cancelInvoice,POST,Javier,No,Si,SD48 - DEPRECADO pero endpoint SAP existe
OrdersController,order/creditStatus/{idSolicitud},GET,sale/filter/{filters},GET,Javier,No,Si,SD36 - Reutilizar SaleController
OrdersController,order/updateCreditOrderId,POST,To Do,POST,Marcos,No,No,"Se tiene que revisar si es posible actualizar un documento de ventas, revisarlo con Alan"
OrdersController,order/estimated-delivery/{ecommerceId},GET,To Do,GET,Javier,No,No,SD36 + ADDRCHANGE + tracking - Requiere desarrollo
OrdersController,order/GetPickUpCode,POST,To Do,POST,Diego,No,No,TrWDM0285_CteRecoge → SIGMAVI
OrdersController,order/ManagePaynetOrders,POST,To Do,POST,Diego,No,No,Tabla Venta (SD36) + SQLITE + spAfectar VALIDAR FLUJO - Requiere desarrollo
OrdersController,order/InsertPaymentData,POST,To Do,POST,Diego,No,No,INSERT Tabla CXCCMensajeWebHookOpenPay INTELISIS a Migrar a SIGMAVI
OrdersController,order/getGuide,POST,order/getGuide,POST,Marcos,Si,Si,Migrado
OrdersController,order/validateCredit,POST,order/new,POST,Javier,No,No,Mismo flujo que setOrder - Apuntar a order/new pero manteniendo ValidateCredit
OrdersController,order/authorizationResult,POST,N/A (MAGENTO directo),N/A,Diego,Si,Si,DMZ→Magento directo - No requiere SAP
OrdersController,order/setOrderStatus,POST,N/A (MAGENTO directo),N/A,Diego,Si,Si,DMZ→Magento directo - No requiere SAP
OrdersController,order/getOrderInfo/{incrementId},GET,N/A (MAGENTO directo),N/A,Diego,Si,Si,DMZ→Magento directo - No requiere SAP
OrdersController,order/jsonOrders/{incrementId},GET,N/A (MAGENTO directo),N/A,Diego,Si,Si,DMZ→Magento directo - No requiere SAP
OrdersController,order/setCAccount,POST,N/A (MAGENTO directo),N/A,Diego,Si,Si,DMZ→Magento directo - No requiere SAP
OrdersController,order/sendStorePickupEmail,POST,N/A (MAGENTO directo),N/A,Diego,Si,Si,DMZ→Magento directo - No requiere SAP
OrdersController,order/getprueba,GET,N/A,N/A,Diego,No,No,DEPRECADO
ProductsController,product/updateProduct/{store},POST,N/A (MAGENTO directo),N/A,Diego,Si,Si,DMZ→Magento directo - No requiere SAP
ProductsController,product/updateConfigurableProduct/{store},POST,N/A (MAGENTO directo),N/A,Diego,Si,Si,DMZ→Magento directo - No requiere SAP
ProductsController,product/updateConfigurableProductLink/{sku},POST,N/A (MAGENTO directo),N/A,Diego,Si,Si,DMZ→Magento directo - No requiere SAP
ProductsController,product/updateStock,POST,N/A (MAGENTO directo),N/A,Diego,Si,Si,DMZ→Magento directo - No requiere SAP
ProductsController,product/getStockByStore,POST,N/A (MAGENTO directo),N/A,Deprecado,N/A,N/A,DEPRECADO solo hace un return Ok(“stores”); esta obsoleto
ProductsController,product/updatePrice,POST,N/A (MAGENTO directo),N/A,Diego,Si,Si,DMZ→Magento directo - No requiere SAP
ProductsController,product/uploadImage,POST,N/A (MAGENTO directo),N/A,Diego,Si,Si,DMZ→Magento directo - No requiere SAP
ProductsController,product/uploadImagesToMagento,POST,N/A (MAGENTO directo),N/A,Diego,Si,Si,DMZ→Magento directo - No requiere SAP
