equipo,dia,ia_usada,peticiones,min_ia,min_herramientas,min_persona,min_reloj_activo,tokens
CATECINF214244D,2026-09-11,claude-opus-5,3332,348.9,192.6,104.7,239.4,571.2M
CATECINF214244D,2026-09-10,claude-opus-5,1396,171.3,46.5,50.5,116.7,220.5M
CATECINF214244D,2026-09-09,claude-opus-5,2041,289.3,104.5,38.5,223.7,326.4M
CATECINF214244D,2026-09-08,claude-opus-5,2852,296.6,103.2,65.6,207.5,418.0M
CATECINF214244D,2026-09-07,claude-opus-4-8 | claude-opus-5 | claude-sonnet-5,316,41.9,15.5,38.5,95.9,52.2M
CATECINF214244D,semana 07/09 a 13/09,TOTAL,9937,1148.0,462.2,297.8,883.1,1.6B
